season,races,countries,first,last,drivers_champion_team,constructors_champion,winners
"{'text': '1962', 'url': 'https://en.wikipedia.org/wiki/1962_Formula_One_season'}",9,9,"{'text': 'Dutch', 'url': 'https://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix'}","{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1962_South_African_Grand_Prix'}","[{'text': 'Graham Hill', 'url': 'https://en.wikipedia.org/wiki/Graham_Hill'}, {'text': 'BRM', 'url': 'https://en.wikipedia.org/wiki/British_Racing_Motors'}]","[{'text': 'BRM', 'url': 'https://en.wikipedia.org/wiki/British_Racing_Motors'}]",4
"{'text': '1963', 'url': 'https://en.wikipedia.org/wiki/1963_Formula_One_season'}",10,10,"{'text': 'Monaco', 'url': 'https://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix'}","{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1963_South_African_Grand_Prix'}","[{'text': 'Jim Clark', 'url': 'https://en.wikipedia.org/wiki/Jim_Clark'}, {'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Climax', 'url': 'https://en.wikipedia.org/wiki/Coventry_Climax'}]",3
"{'text': '1964', 'url': 'https://en.wikipedia.org/wiki/1964_Formula_One_season'}",10,10,"{'text': 'Monaco', 'url': 'https://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix'}","[{'text': 'John Surtees', 'url': 'https://en.wikipedia.org/wiki/John_Surtees'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}, {'text': 'NART', 'url': 'https://en.wikipedia.org/wiki/North_American_Racing_Team'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",5
"{'text': '1965', 'url': 'https://en.wikipedia.org/wiki/1965_Formula_One_season'}",10,10,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1965_South_African_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix'}","[{'text': 'Jim Clark', 'url': 'https://en.wikipedia.org/wiki/Jim_Clark'}, {'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Climax', 'url': 'https://en.wikipedia.org/wiki/Coventry_Climax'}]",4
"{'text': '1966', 'url': 'https://en.wikipedia.org/wiki/1966_Formula_One_season'}",9,9,"{'text': 'Monaco', 'url': 'https://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix'}","[{'text': 'Jack Brabham', 'url': 'https://en.wikipedia.org/wiki/Jack_Brabham'}, {'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}]","[{'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}, {'text': 'Repco', 'url': 'https://en.wikipedia.org/wiki/Repco-Brabham_V8'}]",5
"{'text': '1967', 'url': 'https://en.wikipedia.org/wiki/1967_Formula_One_season'}",11,11,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1967_South_African_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix'}","[{'text': 'Denny Hulme', 'url': 'https://en.wikipedia.org/wiki/Denny_Hulme'}, {'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}]","[{'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}, {'text': 'Repco', 'url': 'https://en.wikipedia.org/wiki/Repco-Brabham_V8'}]",7
"{'text': '1968', 'url': 'https://en.wikipedia.org/wiki/1968_Formula_One_season'}",12,12,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1968_South_African_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix'}","[{'text': 'Graham Hill', 'url': 'https://en.wikipedia.org/wiki/Graham_Hill'}, {'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",7
"{'text': '1969', 'url': 'https://en.wikipedia.org/wiki/1969_Formula_One_season'}",11,11,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1969_South_African_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1969_Mexican_Grand_Prix'}","[{'text': 'Jackie Stewart', 'url': 'https://en.wikipedia.org/wiki/Jackie_Stewart'}, {'text': 'Matra', 'url': 'https://en.wikipedia.org/wiki/Matra_International'}]","[{'text': 'Matra', 'url': 'https://en.wikipedia.org/wiki/Equipe_Matra_Sports'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",5
"{'text': '1970', 'url': 'https://en.wikipedia.org/wiki/1970_Formula_One_season'}",13,13,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1970_South_African_Grand_Prix'}","{'text': 'Mexican', 'url': 'https://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix'}","[{'text': 'Jochen Rindt', 'url': 'https://en.wikipedia.org/wiki/Jochen_Rindt'}, {'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",7
"{'text': '1971', 'url': 'https://en.wikipedia.org/wiki/1971_Formula_One_season'}",11,11,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1971_South_African_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1971_United_States_Grand_Prix'}","[{'text': 'Jackie Stewart', 'url': 'https://en.wikipedia.org/wiki/Jackie_Stewart'}, {'text': 'Tyrrell', 'url': 'https://en.wikipedia.org/wiki/Tyrrell_Racing'}]","[{'text': 'Tyrrell', 'url': 'https://en.wikipedia.org/wiki/Tyrrell_Racing'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",6
"{'text': '1972', 'url': 'https://en.wikipedia.org/wiki/1972_Formula_One_season'}",12,12,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1972_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1972_United_States_Grand_Prix'}","[{'text': 'Emerson Fittipaldi', 'url': 'https://en.wikipedia.org/wiki/Emerson_Fittipaldi'}, {'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",5
"{'text': '1973', 'url': 'https://en.wikipedia.org/wiki/1973_Formula_One_season'}",15,15,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1973_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1973_United_States_Grand_Prix'}","[{'text': 'Jackie Stewart', 'url': 'https://en.wikipedia.org/wiki/Jackie_Stewart'}, {'text': 'Tyrrell', 'url': 'https://en.wikipedia.org/wiki/Tyrrell_Racing'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",5
"{'text': '1974', 'url': 'https://en.wikipedia.org/wiki/1974_Formula_One_season'}",15,15,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1974_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1974_United_States_Grand_Prix'}","[{'text': 'Emerson Fittipaldi', 'url': 'https://en.wikipedia.org/wiki/Emerson_Fittipaldi'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",7
"{'text': '1975', 'url': 'https://en.wikipedia.org/wiki/1975_Formula_One_season'}",14,14,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1975_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1975_United_States_Grand_Prix'}","[{'text': 'Niki Lauda', 'url': 'https://en.wikipedia.org/wiki/Niki_Lauda'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",9
"{'text': '1976', 'url': 'https://en.wikipedia.org/wiki/1976_Formula_One_season'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1976_Brazilian_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/1976_Japanese_Grand_Prix'}","[{'text': 'James Hunt', 'url': 'https://en.wikipedia.org/wiki/James_Hunt'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",7
"{'text': '1977', 'url': 'https://en.wikipedia.org/wiki/1977_Formula_One_season'}",17,16,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1977_Argentine_Grand_Prix'}","{'text': 'Japanese', 'url': 'https://en.wikipedia.org/wiki/1977_Japanese_Grand_Prix'}","[{'text': 'Niki Lauda', 'url': 'https://en.wikipedia.org/wiki/Niki_Lauda'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",8
"{'text': '1978', 'url': 'https://en.wikipedia.org/wiki/1978_Formula_One_season'}",16,15,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1978_Argentine_Grand_Prix'}","{'text': 'Canadian', 'url': 'https://en.wikipedia.org/wiki/1978_Canadian_Grand_Prix'}","[{'text': 'Mario Andretti', 'url': 'https://en.wikipedia.org/wiki/Mario_Andretti'}, {'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}]","[{'text': 'Lotus', 'url': 'https://en.wikipedia.org/wiki/Team_Lotus'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",6
"{'text': '1979', 'url': 'https://en.wikipedia.org/wiki/1979_Formula_One_season'}",15,14,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1979_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1979_United_States_Grand_Prix'}","[{'text': 'Jody Scheckter', 'url': 'https://en.wikipedia.org/wiki/Jody_Scheckter'}, {'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",7
"{'text': '1980', 'url': 'https://en.wikipedia.org/wiki/1980_Formula_One_season'}",14,13,"{'text': 'Argentine', 'url': 'https://en.wikipedia.org/wiki/1980_Argentine_Grand_Prix'}","{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1980_United_States_Grand_Prix'}","[{'text': 'Alan Jones', 'url': 'https://en.wikipedia.org/wiki/Alan_Jones_(racing_driver)'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",7
"{'text': '1981', 'url': 'https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship'}",15,13,"{'text': 'United States West', 'url': 'https://en.wikipedia.org/wiki/1981_United_States_Grand_Prix_West'}","{'text': 'Caesars Palace', 'url': 'https://en.wikipedia.org/wiki/1981_Caesars_Palace_Grand_Prix'}","[{'text': 'Nelson Piquet', 'url': 'https://en.wikipedia.org/wiki/Nelson_Piquet'}, {'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Ford', 'url': 'https://en.wikipedia.org/wiki/Ford_Motor_Company'}]",7
"{'text': '1982', 'url': 'https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship'}",16,12,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1982_South_African_Grand_Prix'}","{'text': 'Caesars Palace', 'url': 'https://en.wikipedia.org/wiki/1982_Caesars_Palace_Grand_Prix'}","[{'text': 'Keke Rosberg', 'url': 'https://en.wikipedia.org/wiki/Keke_Rosberg'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",11
"{'text': '1983', 'url': 'https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship'}",15,13,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1983_Brazilian_Grand_Prix'}","{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1983_South_African_Grand_Prix'}","[{'text': 'Nelson Piquet', 'url': 'https://en.wikipedia.org/wiki/Nelson_Piquet'}, {'text': 'Brabham', 'url': 'https://en.wikipedia.org/wiki/Brabham'}]","[{'text': 'Ferrari', 'url': 'https://en.wikipedia.org/wiki/Scuderia_Ferrari'}]",8
"{'text': '1984', 'url': 'https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship'}",16,14,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1984_Brazilian_Grand_Prix'}","{'text': 'Portuguese', 'url': 'https://en.wikipedia.org/wiki/1984_Portuguese_Grand_Prix'}","[{'text': 'Niki Lauda', 'url': 'https://en.wikipedia.org/wiki/Niki_Lauda'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'TAG', 'url': 'https://en.wikipedia.org/wiki/Techniques_d%27Avant_Garde'}]",5
"{'text': '1985', 'url': 'https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship'}",16,14,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1985_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1985_Australian_Grand_Prix'}","[{'text': 'Alain Prost', 'url': 'https://en.wikipedia.org/wiki/Alain_Prost'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'TAG', 'url': 'https://en.wikipedia.org/wiki/Techniques_d%27Avant_Garde'}]",8
"{'text': '1986', 'url': 'https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1986_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1986_Australian_Grand_Prix'}","[{'text': 'Alain Prost', 'url': 'https://en.wikipedia.org/wiki/Alain_Prost'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",5
"{'text': '1987', 'url': 'https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1987_Australian_Grand_Prix'}","[{'text': 'Nelson Piquet', 'url': 'https://en.wikipedia.org/wiki/Nelson_Piquet'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",5
"{'text': '1988', 'url': 'https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1988_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1988_Australian_Grand_Prix'}","[{'text': 'Ayrton Senna', 'url': 'https://en.wikipedia.org/wiki/Ayrton_Senna'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",3
"{'text': '1989', 'url': 'https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship'}",16,15,"{'text': 'Brazilian', 'url': 'https://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1989_Australian_Grand_Prix'}","[{'text': 'Alain Prost', 'url': 'https://en.wikipedia.org/wiki/Alain_Prost'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",6
"{'text': '1990', 'url': 'https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship'}",16,15,"{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1990_United_States_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1990_Australian_Grand_Prix'}","[{'text': 'Ayrton Senna', 'url': 'https://en.wikipedia.org/wiki/Ayrton_Senna'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",6
"{'text': '1991', 'url': 'https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship'}",16,15,"{'text': 'United States', 'url': 'https://en.wikipedia.org/wiki/1991_United_States_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1991_Australian_Grand_Prix'}","[{'text': 'Ayrton Senna', 'url': 'https://en.wikipedia.org/wiki/Ayrton_Senna'}, {'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}]","[{'text': 'McLaren', 'url': 'https://en.wikipedia.org/wiki/McLaren'}, {'text': 'Honda', 'url': 'https://en.wikipedia.org/wiki/Honda_in_Formula_One'}]",5
"{'text': '1992', 'url': 'https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship'}",16,15,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1992_South_African_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1992_Australian_Grand_Prix'}","[{'text': 'Nigel Mansell', 'url': 'https://en.wikipedia.org/wiki/Nigel_Mansell'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",5
"{'text': '1993', 'url': 'https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship'}",16,14,"{'text': 'South African', 'url': 'https://en.wikipedia.org/wiki/1993_South_African_Grand_Prix'}","{'text': 'Australian', 'url': 'https://en.wikipedia.org/wiki/1993_Australian_Grand_Prix'}","[{'text': 'Alain Prost', 'url': 'https://en.wikipedia.org/wiki/Alain_Prost'}, {'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}]","[{'text': 'Williams', 'url': 'https://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering'}, {'text': 'Renault', 'url': 'https://en.wikipedia.org/wiki/Renault_in_Formula_One'}]",4
