Licensed in,FL,Seasons,Seasons URL,Wins,WCC,WDC,Races Entered,Licensed in URL,Drivers URL,Constructor,Points,Podiums,Total Entries,Constructor URL,Races Started,Drivers,Poles
United Kingdom,0,1951 – 1955,https://en.wikipedia.org/wiki/1951_Formula_One_season,0,n/a,0,16,https://en.wikipedia.org/wiki/United_Kingdom,,HWM (Hersham and Walton Motors),n/a,0,48,https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,14,15,0
United Kingdom,0,2000 – 2004,https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship,0,0,0,85,https://en.wikipedia.org/wiki/United_Kingdom,,Jaguar,49,2,170,https://en.wikipedia.org/wiki/Jaguar_Racing,85,8,0
United Kingdom,0,1959 – 1961,https://en.wikipedia.org/wiki/1959_Formula_One_season,0,0,0,6,https://en.wikipedia.org/wiki/United_Kingdom,,JBW,0,0,6,https://en.wikipedia.org/wiki/JBW,5,1,0
Ireland,2,1991 – 2005,https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship,4,0,0,250,https://en.wikipedia.org/wiki/Republic_of_Ireland,,Jordan,291,19,500,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,250,30,2
Germany,0,1979,https://en.wikipedia.org/wiki/1979_Formula_One_season,0,0,0,2,https://en.wikipedia.org/wiki/Germany,,Kauhsen,0,0,2,https://en.wikipedia.org/wiki/Kauhsen,0,1,0
Germany,0,1954,https://en.wikipedia.org/wiki/1954_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/Germany,,Klenk,n/a,0,1,https://en.wikipedia.org/wiki/Klenk,1,1,0
Japan,0,1976 – 1977,https://en.wikipedia.org/wiki/1976_Formula_One_season,0,0,0,2,https://en.wikipedia.org/wiki/Japan,,Kojima,0,0,3,https://en.wikipedia.org/wiki/Kojima_Engineering,2,3,0
United States,7,1950 – 1960,https://en.wikipedia.org/wiki/1950_Formula_One_season,5,0,0,12,https://en.wikipedia.org/wiki/United_States,,Kurtis Kraft,0,16,350,https://en.wikipedia.org/wiki/Kurtis_Kraft,12,129,6
Italy,0,1991,https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship,0,0,0,16,https://en.wikipedia.org/wiki/Italy,,Lambo (Modena Team),0,0,32,https://en.wikipedia.org/wiki/Modena_(racing_team),6,2,0
Italy,1,1954 – 1955,https://en.wikipedia.org/wiki/1954_Formula_One_season,0,n/a,0,4,https://en.wikipedia.org/wiki/Italy,,Lancia,n/a,1,10,https://en.wikipedia.org/wiki/Scuderia_Lancia,4,4,2
France,0,1993 – 1994,https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship,0,0,0,32,https://en.wikipedia.org/wiki/France,,Larrousse,5,0,64,https://en.wikipedia.org/wiki/Larrousse,32,7,0
South Africa,0,"1962 – 1963 , 1965 , 1967 – 1968",https://en.wikipedia.org/wiki/1962_Formula_One_season,0,0,0,5,https://en.wikipedia.org/wiki/South_Africa,,LDS,0,0,8,https://en.wikipedia.org/wiki/LDS_(automobile),5,3,0
United Kingdom,0,1977,https://en.wikipedia.org/wiki/1977_Formula_One_season,0,0,0,5,https://en.wikipedia.org/wiki/United_Kingdom,,LEC,0,0,5,https://en.wikipedia.org/wiki/LEC_Refrigeration_Racing,3,1,0
United Kingdom,0,1990 – 1991,https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship,0,0,0,32,https://en.wikipedia.org/wiki/United_Kingdom,,Leyton House,8,1,64,https://en.wikipedia.org/wiki/Leyton_House_Racing,30,3,0
Italy,0,1990,https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship,0,0,0,14,https://en.wikipedia.org/wiki/Italy,,Life,0,0,14,https://en.wikipedia.org/wiki/Life_(Racing_Team),0,2,0
France,10,1976 – 1996,https://en.wikipedia.org/wiki/1976_Formula_One_season,9,0,0,332,https://en.wikipedia.org/wiki/France,,Ligier / Talbot Ligier,388,50,612,https://en.wikipedia.org/wiki/Equipe_Ligier,326,28,9
United Kingdom,0,"1962 – 1963 , 1967 – 1968 , 1974 – 1975 , 1985 – 1991 , 1993 , 1997",https://en.wikipedia.org/wiki/1962_Formula_One_season,0,0,0,152,https://en.wikipedia.org/wiki/United_Kingdom,,Lola,45,3,280,https://en.wikipedia.org/wiki/Lola_Cars,146,27,1
United Kingdom,70,1958 – 1994,https://en.wikipedia.org/wiki/1958_Formula_One_season,79,7,6,491,https://en.wikipedia.org/wiki/United_Kingdom,,Lotus (1958–1994),1332,172,1332,https://en.wikipedia.org/wiki/Team_Lotus,489,122,107
Malaysia,0,2010 – 2011,https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship,0,0,0,38,https://en.wikipedia.org/wiki/Malaysia,,Lotus (2010–2011),0,0,76,https://en.wikipedia.org/wiki/Team_Lotus_(2010%E2%80%9311),38,3,0
United Kingdom,5,2012 – 2015,https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship,2,0,0,77,https://en.wikipedia.org/wiki/United_Kingdom,,Lotus (2012–2015),706,25,154,https://en.wikipedia.org/wiki/Lotus_F1,77,5,0
United Kingdom,0,1974 – 1975,https://en.wikipedia.org/wiki/1974_Formula_One_season,0,0,0,2,https://en.wikipedia.org/wiki/United_Kingdom,,Lyncar,0,0,2,https://en.wikipedia.org/wiki/Lyncar,1,1,0
Japan,0,1974 – 1976,https://en.wikipedia.org/wiki/1974_Formula_One_season,0,0,0,8,https://en.wikipedia.org/wiki/Japan,,Maki,0,0,8,https://en.wikipedia.org/wiki/Maki_(constructor),0,3,0
United Kingdom,0,2016,https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship,0,0,0,21,https://en.wikipedia.org/wiki/United_Kingdom,,Manor,1,0,42,https://en.wikipedia.org/wiki/Manor_Racing,21,3,0
United Kingdom,7,"1970 – 1977 , 1981 – 1982 , 1987 – 1989 , 1992",https://en.wikipedia.org/wiki/1970_Formula_One_season,3,0,0,208,https://en.wikipedia.org/wiki/United_Kingdom,,March,172.5,21,579,https://en.wikipedia.org/wiki/March_Engineering,197,54,5
France,0,1978,https://en.wikipedia.org/wiki/1978_Formula_One_season,0,0,0,9,https://en.wikipedia.org/wiki/France,,Martini,0,0,7,https://en.wikipedia.org/wiki/Martini_(cars),4,1,0
"Russia , United Kingdom",0,2012 – 2015,https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship,0,0,0,74,https://en.wikipedia.org/wiki/Russia,,Marussia,2,0,144,https://en.wikipedia.org/wiki/Marussia_F1,73,7,0
Italy,15,1950 – 1960,https://en.wikipedia.org/wiki/1950_Formula_One_season,9,0,2,77,https://en.wikipedia.org/wiki/Italy,,Maserati,9,37,423,https://en.wikipedia.org/wiki/Maserati_in_motorsport#Formula_One,70,106,10
France,12,1967 – 1972,https://en.wikipedia.org/wiki/1967_Formula_One_season,9,1,1,61,https://en.wikipedia.org/wiki/France,,Matra,163,21,117,https://en.wikipedia.org/wiki/Equipe_Matra_Sports,61,5,4
Switzerland,0,1961,https://en.wikipedia.org/wiki/1961_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/Switzerland,,MBM,0,0,1,https://en.wikipedia.org/wiki/MBM_(automobile),0,1,0
Australia,0,1977,https://en.wikipedia.org/wiki/1977_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/Australia,,McGuire,0,0,1,https://en.wikipedia.org/wiki/McGuire_(Formula_One),0,1,0
Italy,0,1978 – 1979,https://en.wikipedia.org/wiki/1978_Formula_One_season,0,0,0,31,https://en.wikipedia.org/wiki/Italy,,Merzario,0,0,32,https://en.wikipedia.org/wiki/Merzario,10,3,0
Russia,0,2006,https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship,0,0,0,18,https://en.wikipedia.org/wiki/Russia,,Midland,0,0,36,https://en.wikipedia.org/wiki/Midland_F1_Racing,18,2,0
Italy,0,1950,https://en.wikipedia.org/wiki/1950_Formula_One_season,0,n/a,0,1,https://en.wikipedia.org/wiki/Italy,,Milano,n/a,0,1,https://en.wikipedia.org/wiki/Milano_(racing_team),0,1,0
Italy,0,1985 – 2005,https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship,0,0,0,346,https://en.wikipedia.org/wiki/Italy,,Minardi,38,0,676,https://en.wikipedia.org/wiki/Minardi,340,42,0
United Kingdom,0,1989 – 1990,https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship,0,0,0,26,https://en.wikipedia.org/wiki/United_Kingdom,,Onyx,6,1,52,https://en.wikipedia.org/wiki/Onyx_Grand_Prix,17,6,0
Italy,0,"1951 – 1953 , 1958",https://en.wikipedia.org/wiki/1951_Formula_One_season,0,0,,7,https://en.wikipedia.org/wiki/Italy,,O.S.C.A.,0,0,11,https://en.wikipedia.org/wiki/O.S.C.A.,4,5,0
Italy,0,1980 – 1990,https://en.wikipedia.org/wiki/1980_Formula_One_season,0,0,0,172,https://en.wikipedia.org/wiki/Italy,,Osella,5,0,253,https://en.wikipedia.org/wiki/Osella,132,17,0
United Kingdom,0,1994 – 1995,https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship,0,0,0,33,https://en.wikipedia.org/wiki/United_Kingdom,,Pacific,0,0,66,https://en.wikipedia.org/wiki/Pacific_Racing,22,5,0
United States,1,1974 – 1976,https://en.wikipedia.org/wiki/1974_Formula_One_season,0,0,0,16,https://en.wikipedia.org/wiki/United_States,,Parnelli,6,0,16,https://en.wikipedia.org/wiki/Vel%27s_Parnelli_Jones_Racing,16,1,0
United States,0,1974 – 1977,https://en.wikipedia.org/wiki/1974_Formula_One_season,1,0,0,41,https://en.wikipedia.org/wiki/United_States,,Penske,23,3,46,https://en.wikipedia.org/wiki/Penske_Racing,40,7,0
Germany,0,1957 – 1964,https://en.wikipedia.org/wiki/1957_Formula_One_season,1,0,0,36,https://en.wikipedia.org/wiki/Germany,,Porsche,46,5,75,https://en.wikipedia.org/wiki/Porsche_in_motorsport#Formula_One,33,13,1
France,0,1997 – 2001,https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship,0,0,0,83,https://en.wikipedia.org/wiki/France,,Prost,35,3,166,https://en.wikipedia.org/wiki/Prost_Grand_Prix,83,9,0
United Kingdom,0,1983 – 1985,https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship,0,0,0,44,https://en.wikipedia.org/wiki/United_Kingdom,,RAM,0,0,73,https://en.wikipedia.org/wiki/RAM_Racing,31,8,0
United Kingdom,0,2018,https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship,0,0,0,9,https://en.wikipedia.org/wiki/United_Kingdom,,Racing Point Force India,52,0,18,https://en.wikipedia.org/wiki/Racing_Point_Force_India,9,2,0
United Kingdom,0,2019 – 2020,https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship,1,0,0,38,https://en.wikipedia.org/wiki/United_Kingdom,,Racing Point,268,4,76,https://en.wikipedia.org/wiki/Racing_Point_F1_Team,38,3,1
Rhodesia,0,1965,https://en.wikipedia.org/wiki/1965_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/Rhodesia,,RE,0,0,1,https://en.wikipedia.org/wiki/RE_(automobile),0,1,0
"France , United Kingdom",33,"1977 – 1985 , 2002 – 2011 , 2016 – 2020",https://en.wikipedia.org/wiki/1977_Formula_One_season,35,2,2,403,https://en.wikipedia.org/wiki/France,,Renault,1777,103,788,https://en.wikipedia.org/wiki/Renault_in_Formula_One,400,26,51
Mexico,0,1979,https://en.wikipedia.org/wiki/1979_Formula_One_season,0,0,0,3,https://en.wikipedia.org/wiki/Mexico,,Rebaque,0,0,3,https://en.wikipedia.org/wiki/Rebaque,1,1,0
Germany,0,1988 – 1989,https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship,0,0,0,32,https://en.wikipedia.org/wiki/Germany,,Rial,6,0,48,https://en.wikipedia.org/wiki/Rial_Racing,21,6,0
United States,0,1960,https://en.wikipedia.org/wiki/1960_Formula_One_season,0,0,0,5,https://en.wikipedia.org/wiki/United_States,,Scarab,0,0,10,https://en.wikipedia.org/wiki/Scarab_(constructor),2,4,0
United Kingdom,0,1963 – 1964,https://en.wikipedia.org/wiki/1963_Formula_One_season,0,0,0,7,https://en.wikipedia.org/wiki/United_Kingdom,,Scirocco,0,0,9,https://en.wikipedia.org/wiki/Scirocco-Powell,5,3,0
"United States , United Kingdom",2,1973 – 1980,https://en.wikipedia.org/wiki/1973_Formula_One_season,1,0,0,112,https://en.wikipedia.org/wiki/United_States,,Shadow,67.5,7,240,https://en.wikipedia.org/wiki/Shadow_Racing_Cars,103,21,3
United Kingdom,0,1966,https://en.wikipedia.org/wiki/1966_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/United_Kingdom,,Shannon,0,0,1,https://en.wikipedia.org/wiki/Shannon_(Formula_One),1,1,0
France,0,1950 – 1953,https://en.wikipedia.org/wiki/1950_Formula_One_season,0,n/a,0,15,https://en.wikipedia.org/wiki/France,,Simca-Gordini,n/a,0,29,https://en.wikipedia.org/wiki/Simca-Gordini,14,11,0
United Kingdom,0,1994 – 1995,https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship,0,0,0,21,https://en.wikipedia.org/wiki/United_Kingdom,,Simtek,0,0,40,https://en.wikipedia.org/wiki/Simtek,21,7,0
United Kingdom,0,1983 – 1985,https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship,0,0,0,25,https://en.wikipedia.org/wiki/United_Kingdom,,Spirit,0,0,25,https://en.wikipedia.org/wiki/Spirit_(racing_team),23,3,0
Netherlands,0,2007,https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship,0,0,0,17,https://en.wikipedia.org/wiki/Netherlands,,Spyker,1,0,34,https://en.wikipedia.org/wiki/Spyker_F1,17,4,0
Canada,0,1963,https://en.wikipedia.org/wiki/1963_Formula_One_season,0,0,0,1,https://en.wikipedia.org/wiki/Canada,,Stebro,0,0,1,https://en.wikipedia.org/wiki/Stebro,1,1,0
